Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Stacey W. Bond,"DEM Nikita ""Niki"" Harmon",Totals
"District Judge, 176th Judicial District",0980,686,333,1019,1412,72.17%,706,258,964
"District Judge, 176th Judicial District",0981,12,2,14,31,45.16%,1,12,13
"District Judge, 176th Judicial District",0982,1898,501,2399,2916,82.27%,1787,516,2303
"District Judge, 176th Judicial District",0983,65,17,82,198,41.41%,43,37,80
"District Judge, 176th Judicial District",0984,76,57,133,341,39.00%,12,118,130
"District Judge, 176th Judicial District",0985,222,56,278,355,78.31%,132,132,264
"District Judge, 176th Judicial District",0986,153,78,231,537,43.02%,22,201,223
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Stacey W. Bond,"DEM Nikita ""Niki"" Harmon",Totals
"District Judge, 176th Judicial District",0987,476,130,606,1183,51.23%,41,540,581
"District Judge, 176th Judicial District",0988,62,15,77,117,65.81%,65,8,73
"District Judge, 176th Judicial District",0989,0,0,0,0,0.00%,0,0,0
"District Judge, 176th Judicial District",0990,5,6,11,66,16.67%,3,8,11
"District Judge, 176th Judicial District",0991,0,1,1,2,50.00%,0,1,1
"District Judge, 176th Judicial District",0992,456,106,562,1075,52.28%,253,272,525
"District Judge, 176th Judicial District",0993,0,0,0,0,0.00%,0,0,0
"District Judge, 176th Judicial District",0994,56,12,68,75,90.67%,20,46,66
"District Judge, 176th Judicial District",0995,753,193,946,1576,60.03%,89,819,908
"District Judge, 176th Judicial District",0996,403,70,473,708,66.81%,252,192,444
"District Judge, 176th Judicial District",0997,521,283,804,1909,42.12%,134,647,781
"District Judge, 176th Judicial District",0998,24,12,36,68,52.94%,23,11,34
"District Judge, 176th Judicial District",0999,0,0,0,0,0.00%,0,0,0
"District Judge, 176th Judicial District",1000,122,22,144,428,33.64%,20,120,140
"District Judge, 176th Judicial District",1001,519,280,799,1654,48.31%,152,604,756
"District Judge, 176th Judicial District",1002,480,270,750,1804,41.57%,103,603,706
"District Judge, 176th Judicial District",1003,0,0,0,0,0.00%,0,0,0
"District Judge, 176th Judicial District",1004,349,114,463,691,67.00%,230,206,436
"District Judge, 176th Judicial District",1005,0,0,0,0,0.00%,0,0,0
"District Judge, 176th Judicial District",1006,0,0,0,0,0.00%,0,0,0
"District Judge, 176th Judicial District",1007,694,306,1000,1775,56.34%,215,742,957
"District Judge, 176th Judicial District",1008,620,107,727,1011,71.91%,561,133,694
"District Judge, 176th Judicial District",1009,0,0,0,0,0.00%,0,0,0
"District Judge, 176th Judicial District",1010,292,96,388,647,59.97%,69,303,372
"District Judge, 176th Judicial District",1011,9,6,15,31,48.39%,8,7,15
"District Judge, 176th Judicial District",1012,543,362,905,1633,55.42%,218,637,855
"District Judge, 176th Judicial District",Totals;,981446,353327,1334773,2182980,617601,649688,1267289
