Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Renee Magee,DEM Herb Ritchie,Totals
"District Judge, 337th Judicial District",0988,62,15,77,117,65.81%,67,7,74
"District Judge, 337th Judicial District",0989,0,0,0,0,0.00%,0,0,0
"District Judge, 337th Judicial District",0990,5,6,11,66,16.67%,4,7,11
"District Judge, 337th Judicial District",0991,0,1,1,2,50.00%,0,1,1
"District Judge, 337th Judicial District",0992,456,106,562,1075,52.28%,258,267,525
"District Judge, 337th Judicial District",0993,0,0,0,0,0.00%,0,0,0
"District Judge, 337th Judicial District",0994,56,12,68,75,90.67%,21,45,66
"District Judge, 337th Judicial District",0995,753,193,946,1576,60.03%,98,808,906
"District Judge, 337th Judicial District",0996,403,70,473,708,66.81%,249,192,441
"District Judge, 337th Judicial District",0997,521,283,804,1909,42.12%,145,636,781
"District Judge, 337th Judicial District",0998,24,12,36,68,52.94%,23,12,35
"District Judge, 337th Judicial District",0999,0,0,0,0,0.00%,0,0,0
"District Judge, 337th Judicial District",1000,122,22,144,428,33.64%,23,114,137
"District Judge, 337th Judicial District",1001,519,280,799,1654,48.31%,156,602,758
"District Judge, 337th Judicial District",1002,480,270,750,1804,41.57%,108,600,708
"District Judge, 337th Judicial District",1003,0,0,0,0,0.00%,0,0,0
"District Judge, 337th Judicial District",1004,349,114,463,691,67.00%,225,208,433
"District Judge, 337th Judicial District",1005,0,0,0,0,0.00%,0,0,0
"District Judge, 337th Judicial District",1006,0,0,0,0,0.00%,0,0,0
"District Judge, 337th Judicial District",1007,694,306,1000,1775,56.34%,228,727,955
"District Judge, 337th Judicial District",1008,620,107,727,1011,71.91%,564,132,696
"District Judge, 337th Judicial District",1009,0,0,0,0,0.00%,0,0,0
"District Judge, 337th Judicial District",1010,292,96,388,647,59.97%,72,299,371
"District Judge, 337th Judicial District",1011,9,6,15,31,48.39%,9,6,15
"District Judge, 337th Judicial District",1012,543,362,905,1633,55.42%,218,633,851
"District Judge, 337th Judicial District",Totals:,981446,353327,1334773,2182980,620917,644494,1265411
