Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Fred Shuchart,DEM Elaine Palmer,Totals
"District Judge, 215th Judicial District",0987,476,130,606,1183,51.23%,37,544,581
"District Judge, 215th Judicial District",0988,62,15,77,117,65.81%,65,9,74
"District Judge, 215th Judicial District",0989,0,0,0,0,0.00%,0,0,0
"District Judge, 215th Judicial District",0990,5,6,11,66,16.67%,3,8,11
"District Judge, 215th Judicial District",0991,0,1,1,2,50.00%,0,1,1
"District Judge, 215th Judicial District",0992,456,106,562,1075,52.28%,247,278,525
"District Judge, 215th Judicial District",0993,0,0,0,0,0.00%,0,0,0
"District Judge, 215th Judicial District",0994,56,12,68,75,90.67%,20,46,66
"District Judge, 215th Judicial District",0995,753,193,946,1576,60.03%,86,822,908
"District Judge, 215th Judicial District",0996,403,70,473,708,66.81%,241,200,441
"District Judge, 215th Judicial District",0997,521,283,804,1909,42.12%,137,645,782
"District Judge, 215th Judicial District",0998,24,12,36,68,52.94%,22,12,34
"District Judge, 215th Judicial District",0999,0,0,0,0,0.00%,0,0,0
"District Judge, 215th Judicial District",1000,122,22,144,428,33.64%,21,118,139
"District Judge, 215th Judicial District",1001,519,280,799,1654,48.31%,143,613,756
"District Judge, 215th Judicial District",1002,480,270,750,1804,41.57%,99,607,706
"District Judge, 215th Judicial District",1003,0,0,0,0,0.00%,0,0,0
"District Judge, 215th Judicial District",1004,349,114,463,691,67.00%,217,217,434
"District Judge, 215th Judicial District",1005,0,0,0,0,0.00%,0,0,0
"District Judge, 215th Judicial District",1006,0,0,0,0,0.00%,0,0,0
"District Judge, 215th Judicial District",1007,694,306,1000,1775,56.34%,210,741,951
"District Judge, 215th Judicial District",1008,620,107,727,1011,71.91%,552,142,694
"District Judge, 215th Judicial District",1009,0,0,0,0,0.00%,0,0,0
"District Judge, 215th Judicial District",1010,292,96,388,647,59.97%,64,308,372
"District Judge, 215th Judicial District",1011,9,6,15,31,48.39%,10,5,15
"District Judge, 215th Judicial District",1012,543,362,905,1633,55.42%,212,643,855
"District Judge, 215th Judicial District",Totals:,981446,353327,1334773,2182980,601446,664483,1265929
