Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Kevin Jewell,DEM Candance White,Totals
"Justice, 14th Court of Appeals District, Place 2",0844,4,0,4,10,40.00%,0,4,4
"Justice, 14th Court of Appeals District, Place 2",0845,152,13,165,218,75.69%,100,57,157
"Justice, 14th Court of Appeals District, Place 2",0846,61,22,83,229,36.24%,1,80,81
"Justice, 14th Court of Appeals District, Place 2",0847,993,330,1323,2310,57.27%,330,945,1275
"Justice, 14th Court of Appeals District, Place 2",0848,1011,201,1212,1875,64.64%,367,789,1156
"Justice, 14th Court of Appeals District, Place 2",0849,731,455,1186,2272,52.20%,297,799,1096
"Justice, 14th Court of Appeals District, Place 2",0850,129,19,148,208,71.15%,57,86,143
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Kevin Jewell,DEM Candance White,Totals
"Justice, 14th Court of Appeals District, Place 2",0851,1886,441,2327,3597,64.69%,1514,715,2229
"Justice, 14th Court of Appeals District, Place 2",0852,0,0,0,1,0.00%,0,0,0
"Justice, 14th Court of Appeals District, Place 2",0853,1637,487,2124,2986,71.13%,1548,499,2047
"Justice, 14th Court of Appeals District, Place 2",0854,40,19,59,175,33.71%,8,49,57
"Justice, 14th Court of Appeals District, Place 2",0855,7,2,9,21,42.86%,4,4,8
"Justice, 14th Court of Appeals District, Place 2",0856,0,3,3,0,0.00%,0,1,1
"Justice, 14th Court of Appeals District, Place 2",0857,0,0,0,1,0.00%,0,0,0
"Justice, 14th Court of Appeals District, Place 2",0858,121,35,156,334,46.71%,5,142,147
"Justice, 14th Court of Appeals District, Place 2",0859,391,143,534,945,56.51%,110,401,511
"Justice, 14th Court of Appeals District, Place 2",0860,1,1,2,0,0.00%,0,2,2
"Justice, 14th Court of Appeals District, Place 2",0861,777,272,1049,1941,54.04%,161,851,1012
"Justice, 14th Court of Appeals District, Place 2",0862,1989,508,2497,3739,66.78%,1422,984,2406
"Justice, 14th Court of Appeals District, Place 2",0863,192,64,256,581,44.06%,14,236,250
"Justice, 14th Court of Appeals District, Place 2",0864,693,574,1267,2708,46.79%,265,929,1194
"Justice, 14th Court of Appeals District, Place 2",0865,9,2,11,21,52.38%,0,11,11
"Justice, 14th Court of Appeals District, Place 2",0866,0,0,0,0,0.00%,0,0,0
"Justice, 14th Court of Appeals District, Place 2",0867,0,0,0,0,0.00%,0,0,0
"Justice, 14th Court of Appeals District, Place 2",0868,737,495,1232,2446,50.37%,302,872,1174
"Justice, 14th Court of Appeals District, Place 2",0869,166,55,221,480,46.04%,27,188,215
"Justice, 14th Court of Appeals District, Place 2",0870,0,2,2,0,0.00%,1,1,2
"Justice, 14th Court of Appeals District, Place 2",0871,2,1,3,3,100.00%,1,2,3
"Justice, 14th Court of Appeals District, Place 2",0872,16,6,22,68,32.35%,12,10,22
"Justice, 14th Court of Appeals District, Place 2",0873,296,111,407,778,52.31%,94,300,394
"Justice, 14th Court of Appeals District, Place 2",0874,1681,670,2351,3294,71.37%,1661,598,2259
"Justice, 14th Court of Appeals District, Place 2",0875,1948,501,2449,3592,68.18%,1107,1255,2362
"Justice, 14th Court of Appeals District, Place 2",0876,1945,577,2522,3485,72.37%,1714,713,2427
"Justice, 14th Court of Appeals District, Place 2",0877,1805,528,2333,3651,63.90%,850,1409,2259
"Justice, 14th Court of Appeals District, Place 2",0878,685,110,795,1039,76.52%,632,131,763
"Justice, 14th Court of Appeals District, Place 2",0879,1215,413,1628,2843,57.26%,659,901,1560
"Justice, 14th Court of Appeals District, Place 2",0880,1355,471,1826,2467,74.02%,1341,425,1766
"Justice, 14th Court of Appeals District, Place 2",0881,2465,927,3392,5638,60.16%,867,2419,3286
"Justice, 14th Court of Appeals District, Place 2",0882,1952,595,2547,4317,59.00%,729,1698,2427
"Justice, 14th Court of Appeals District, Place 2",0883,2252,928,3180,5613,56.65%,527,2530,3057
"Justice, 14th Court of Appeals District, Place 2",0884,149,55,204,396,51.52%,29,170,199
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Kevin Jewell,DEM Candance White,Totals
"Justice, 14th Court of Appeals District, Place 2",0885,1571,323,1894,2811,67.38%,1036,798,1834
"Justice, 14th Court of Appeals District, Place 2",0886,496,152,648,906,71.52%,343,258,601
"Justice, 14th Court of Appeals District, Place 2",0887,234,95,329,492,66.87%,168,132,300
"Justice, 14th Court of Appeals District, Place 2",0888,817,289,1106,1867,59.24%,339,725,1064
"Justice, 14th Court of Appeals District, Place 2",0889,113,28,141,238,59.24%,35,97,132
"Justice, 14th Court of Appeals District, Place 2",0890,447,98,545,1214,44.89%,221,283,504
"Justice, 14th Court of Appeals District, Place 2",0891,753,194,947,1376,68.82%,358,536,894
"Justice, 14th Court of Appeals District, Place 2",0892,426,123,549,900,61.00%,183,334,517
"Justice, 14th Court of Appeals District, Place 2",0893,1,4,5,9,55.56%,2,3,5
"Justice, 14th Court of Appeals District, Place 2",0894,801,305,1106,2087,52.99%,142,928,1070
"Justice, 14th Court of Appeals District, Place 2",0895,417,252,669,834,80.22%,300,322,622
"Justice, 14th Court of Appeals District, Place 2",0896,839,254,1093,1467,74.51%,404,624,1028
"Justice, 14th Court of Appeals District, Place 2",0897,813,365,1178,1766,66.70%,603,516,1119
"Justice, 14th Court of Appeals District, Place 2",0898,792,301,1093,1821,60.02%,420,638,1058
"Justice, 14th Court of Appeals District, Place 2",0899,747,165,912,1264,72.15%,562,326,888
"Justice, 14th Court of Appeals District, Place 2",0900,7,0,7,12,58.33%,1,6,7
"Justice, 14th Court of Appeals District, Place 2",0901,0,0,0,0,0.00%,0,0,0
"Justice, 14th Court of Appeals District, Place 2",0902,1311,361,1672,2217,75.42%,853,715,1568
"Justice, 14th Court of Appeals District, Place 2",0903,1314,354,1668,2558,65.21%,1193,421,1614
"Justice, 14th Court of Appeals District, Place 2",0904,2,0,2,8,25.00%,1,1,2
"Justice, 14th Court of Appeals District, Place 2",0905,390,136,526,946,55.60%,191,313,504
"Justice, 14th Court of Appeals District, Place 2",0906,19,3,22,28,78.57%,14,8,22
"Justice, 14th Court of Appeals District, Place 2",0907,53,37,90,201,44.78%,9,79,88
"Justice, 14th Court of Appeals District, Place 2",0908,0,0,0,0,0.00%,0,0,0
"Justice, 14th Court of Appeals District, Place 2",0909,7,1,8,21,38.10%,3,5,8
"Justice, 14th Court of Appeals District, Place 2",0910,78,37,115,236,48.73%,32,73,105
"Justice, 14th Court of Appeals District, Place 2",0911,237,63,300,576,52.08%,185,106,291
"Justice, 14th Court of Appeals District, Place 2",0912,712,167,879,1341,65.55%,497,340,837
"Justice, 14th Court of Appeals District, Place 2",0913,102,12,114,241,47.30%,19,90,109
"Justice, 14th Court of Appeals District, Place 2",0914,42,0,42,124,33.87%,9,31,40
"Justice, 14th Court of Appeals District, Place 2",0915,0,0,0,0,0.00%,0,0,0
"Justice, 14th Court of Appeals District, Place 2",0916,1472,308,1780,2205,80.73%,1330,378,1708
"Justice, 14th Court of Appeals District, Place 2",0917,33,9,42,147,28.57%,4,34,38
"Justice, 14th Court of Appeals District, Place 2",0918,3,1,4,7,57.14%,1,3,4
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Kevin Jewell,DEM Candance White,Totals
"Justice, 14th Court of Appeals District, Place 2",0919,1,0,1,1,100.00%,0,1,1
"Justice, 14th Court of Appeals District, Place 2",0920,41,13,54,79,68.35%,32,20,52
"Justice, 14th Court of Appeals District, Place 2",0921,27,6,33,61,54.10%,6,27,33
"Justice, 14th Court of Appeals District, Place 2",0922,0,0,0,0,0.00%,0,0,0
"Justice, 14th Court of Appeals District, Place 2",0923,2331,350,2681,3536,75.82%,1978,644,2622
"Justice, 14th Court of Appeals District, Place 2",0924,0,0,0,0,0.00%,0,0,0
"Justice, 14th Court of Appeals District, Place 2",0925,0,0,0,0,0.00%,0,0,0
"Justice, 14th Court of Appeals District, Place 2",0926,550,149,699,967,72.29%,462,203,665
"Justice, 14th Court of Appeals District, Place 2",0927,968,173,1141,1771,64.43%,569,495,1064
"Justice, 14th Court of Appeals District, Place 2",0928,4,1,5,7,71.43%,0,5,5
"Justice, 14th Court of Appeals District, Place 2",0929,0,0,0,0,0.00%,0,0,0
"Justice, 14th Court of Appeals District, Place 2",0930,217,83,300,606,49.50%,14,273,287
"Justice, 14th Court of Appeals District, Place 2",0931,87,28,115,141,81.56%,46,58,104
"Justice, 14th Court of Appeals District, Place 2",0932,0,1,1,0,0.00%,0,1,1
"Justice, 14th Court of Appeals District, Place 2",0933,297,93,390,668,58.38%,117,259,376
"Justice, 14th Court of Appeals District, Place 2",0934,9,4,13,37,35.14%,7,6,13
"Justice, 14th Court of Appeals District, Place 2",0935,12,9,21,55,38.18%,7,13,20
"Justice, 14th Court of Appeals District, Place 2",0936,23,9,32,76,42.11%,7,22,29
"Justice, 14th Court of Appeals District, Place 2",0937,0,0,0,0,0.00%,0,0,0
"Justice, 14th Court of Appeals District, Place 2",0938,72,19,91,255,35.69%,26,64,90
"Justice, 14th Court of Appeals District, Place 2",0939,1,1,2,4,50.00%,1,1,2
"Justice, 14th Court of Appeals District, Place 2",0940,9,3,12,28,42.86%,1,11,12
"Justice, 14th Court of Appeals District, Place 2",0941,285,144,429,870,49.31%,194,209,403
"Justice, 14th Court of Appeals District, Place 2",0942,102,16,118,152,77.63%,81,34,115
"Justice, 14th Court of Appeals District, Place 2",0943,192,28,220,774,28.42%,47,158,205
"Justice, 14th Court of Appeals District, Place 2",0944,1,0,1,1,100.00%,0,1,1
"Justice, 14th Court of Appeals District, Place 2",0945,8,6,14,21,66.67%,1,12,13
"Justice, 14th Court of Appeals District, Place 2",0946,4,2,6,14,42.86%,1,5,6
"Justice, 14th Court of Appeals District, Place 2",0947,428,198,626,820,76.34%,317,268,585
"Justice, 14th Court of Appeals District, Place 2",0948,0,0,0,1,0.00%,0,0,0
"Justice, 14th Court of Appeals District, Place 2",0949,84,61,145,210,69.05%,63,74,137
"Justice, 14th Court of Appeals District, Place 2",0950,0,0,0,0,0.00%,0,0,0
"Justice, 14th Court of Appeals District, Place 2",0951,114,62,176,304,57.89%,40,125,165
"Justice, 14th Court of Appeals District, Place 2",0952,32,15,47,65,72.31%,29,16,45
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Kevin Jewell,DEM Candance White,Totals
"Justice, 14th Court of Appeals District, Place 2",0953,4,0,4,8,50.00%,0,4,4
"Justice, 14th Court of Appeals District, Place 2",0954,0,0,0,0,0.00%,0,0,0
"Justice, 14th Court of Appeals District, Place 2",0955,3539,572,4111,5108,80.48%,2848,1089,3937
"Justice, 14th Court of Appeals District, Place 2",0956,0,0,0,0,0.00%,0,0,0
"Justice, 14th Court of Appeals District, Place 2",0957,283,39,322,585,55.04%,41,269,310
"Justice, 14th Court of Appeals District, Place 2",0958,430,231,661,1202,54.99%,119,510,629
"Justice, 14th Court of Appeals District, Place 2",0959,0,0,0,0,0.00%,0,0,0
"Justice, 14th Court of Appeals District, Place 2",0960,829,235,1064,1471,72.33%,217,812,1029
"Justice, 14th Court of Appeals District, Place 2",0961,821,318,1139,2369,48.08%,171,917,1088
"Justice, 14th Court of Appeals District, Place 2",0962,33,12,45,88,51.14%,8,34,42
"Justice, 14th Court of Appeals District, Place 2",0963,225,91,316,528,59.85%,125,173,298
"Justice, 14th Court of Appeals District, Place 2",0964,2146,325,2471,3179,77.73%,1394,980,2374
"Justice, 14th Court of Appeals District, Place 2",0965,101,35,136,345,39.42%,88,39,127
"Justice, 14th Court of Appeals District, Place 2",0966,368,189,557,1332,41.82%,128,396,524
"Justice, 14th Court of Appeals District, Place 2",0967,82,24,106,186,56.99%,37,64,101
"Justice, 14th Court of Appeals District, Place 2",0968,455,127,582,906,64.24%,114,450,564
"Justice, 14th Court of Appeals District, Place 2",0969,299,71,370,624,59.29%,7,354,361
"Justice, 14th Court of Appeals District, Place 2",0970,223,102,325,810,40.12%,30,273,303
"Justice, 14th Court of Appeals District, Place 2",0971,0,0,0,0,0.00%,0,0,0
"Justice, 14th Court of Appeals District, Place 2",0972,0,0,0,0,0.00%,0,0,0
"Justice, 14th Court of Appeals District, Place 2",0973,504,138,642,999,64.26%,403,206,609
"Justice, 14th Court of Appeals District, Place 2",0974,0,1,1,0,0.00%,1,0,1
"Justice, 14th Court of Appeals District, Place 2",0975,104,26,130,190,68.42%,58,62,120
"Justice, 14th Court of Appeals District, Place 2",0976,190,152,342,712,48.03%,168,149,317
"Justice, 14th Court of Appeals District, Place 2",0977,160,108,268,617,43.44%,89,170,259
"Justice, 14th Court of Appeals District, Place 2",0978,0,0,0,0,0.00%,0,0,0
"Justice, 14th Court of Appeals District, Place 2",0979,0,0,0,0,0.00%,0,0,0
"Justice, 14th Court of Appeals District, Place 2",0980,686,333,1019,1412,72.17%,688,277,965
"Justice, 14th Court of Appeals District, Place 2",0981,12,2,14,31,45.16%,1,12,13
"Justice, 14th Court of Appeals District, Place 2",0982,1898,501,2399,2916,82.27%,1774,532,2306
"Justice, 14th Court of Appeals District, Place 2",0983,65,17,82,198,41.41%,43,37,80
"Justice, 14th Court of Appeals District, Place 2",0984,76,57,133,341,39.00%,10,120,130
"Justice, 14th Court of Appeals District, Place 2",0985,222,56,278,355,78.31%,124,142,266
"Justice, 14th Court of Appeals District, Place 2",0986,154,78,232,537,43.20%,23,201,224
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Kevin Jewell,DEM Candance White,Totals
"Justice, 14th Court of Appeals District, Place 2",0987,476,130,606,1183,51.23%,34,546,580
"Justice, 14th Court of Appeals District, Place 2",0988,62,15,77,117,65.81%,66,8,74
"Justice, 14th Court of Appeals District, Place 2",0989,0,0,0,0,0.00%,0,0,0
"Justice, 14th Court of Appeals District, Place 2",0990,5,6,11,66,16.67%,4,7,11
"Justice, 14th Court of Appeals District, Place 2",0991,0,1,1,2,50.00%,0,1,1
"Justice, 14th Court of Appeals District, Place 2",0992,456,106,562,1075,52.28%,257,273,530
"Justice, 14th Court of Appeals District, Place 2",0993,0,0,0,0,0.00%,0,0,0
"Justice, 14th Court of Appeals District, Place 2",0994,56,12,68,75,90.67%,20,46,66
"Justice, 14th Court of Appeals District, Place 2",0995,753,193,946,1576,60.03%,84,822,906
"Justice, 14th Court of Appeals District, Place 2",0996,403,70,473,708,66.81%,244,199,443
"Justice, 14th Court of Appeals District, Place 2",0997,522,283,805,1909,42.17%,132,655,787
"Justice, 14th Court of Appeals District, Place 2",0998,24,12,36,68,52.94%,23,11,34
"Justice, 14th Court of Appeals District, Place 2",0999,0,0,0,0,0.00%,0,0,0
"Justice, 14th Court of Appeals District, Place 2",1000,122,22,144,428,33.64%,20,120,140
"Justice, 14th Court of Appeals District, Place 2",1001,519,280,799,1654,48.31%,148,611,759
"Justice, 14th Court of Appeals District, Place 2",1002,480,270,750,1804,41.57%,102,606,708
"Justice, 14th Court of Appeals District, Place 2",1003,0,0,0,0,0.00%,0,0,0
"Justice, 14th Court of Appeals District, Place 2",1004,351,114,465,691,67.29%,224,219,443
"Justice, 14th Court of Appeals District, Place 2",1005,0,0,0,0,0.00%,0,0,0
"Justice, 14th Court of Appeals District, Place 2",1006,0,0,0,0,0.00%,0,0,0
"Justice, 14th Court of Appeals District, Place 2",1007,695,306,1001,1775,56.39%,209,754,963
"Justice, 14th Court of Appeals District, Place 2",1008,620,107,727,1011,71.91%,558,138,696
"Justice, 14th Court of Appeals District, Place 2",1009,0,0,0,0,0.00%,0,0,0
"Justice, 14th Court of Appeals District, Place 2",1010,292,96,388,647,59.97%,70,303,373
"Justice, 14th Court of Appeals District, Place 2",1011,9,6,15,31,48.39%,8,7,15
"Justice, 14th Court of Appeals District, Place 2",1012,543,362,905,1633,55.42%,210,646,856
"Justice, 14th Court of Appeals District, Place 2",Totals:,982016,353327,1335343,2182980,606215,666580,1272795
